标题,标签,小区,地段,价格(万),单价,户型,面积,朝向,装修,楼层,年份,形式,关注人数,分布日期,交通,VR,房本,看房时期
牡丹园龙翔路东北向，精装修两居室。,必看好房,龙翔路小区 ,牡丹园,545,"99,744元/平",2室1厅 , 54.64平米 , 东北 , 精装 , 低楼层(共18层) , 1994年建 , 塔楼,6人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
双地铁社区 环球影城北侧 全南向 满五年唯一 随时看,必看好房,新城乐居 ,临河里,310,"39,386元/平",2室1厅 , 78.71平米 , 南 , 精装 , 28层 , 2012年建 , 板楼,7人关注 , 7天以前发布,近地铁,VR房源,房本满五年,随时看房
南海家园二里南北通透两居室诚意出售,必看好房,南海家园二里 ,亦庄开发区其它,480,"55,084元/平",2室2厅 , 87.14平米 , 南 北 , 简装 , 高楼层(共18层) , 2012年建 , 板楼,6人关注 , 5天以前发布,,VR看装修,房本满两年,随时看房
芳园里 中间楼层2居 诚心出售，小区中间位置,必看好房,芳园里 ,酒仙桥,309,"61,140元/平",2室1厅 , 50.54平米 , 西南 , 简装 , 中楼层(共6层) , 1984年建 , 板楼,15人关注 , 4天以前发布,近地铁,VR房源,房本满五年,随时看房
双井地铁站旁西南两居室，高楼层，视野好。,必看好房,广渠路 ,双井,460,"64,544元/平",2室1厅 , 71.27平米 , 西南 , 精装 , 高楼层(共18层) , 1990年建 , 塔楼,2人关注 , 3天以前发布,,VR房源,房本满五年,随时看房
西便门东里带电梯的两居，电梯直达，中楼层，视野好。,必看好房,西便门东里 ,木樨地,680,"123,749元/平",2室1厅 , 54.95平米 , 南 , 简装 , 中楼层(共14层) , 1980年建 , 板楼,7人关注 , 8天以前发布,近地铁,VR看装修,房本满五年,随时看房
通州 挂车厂宿舍 南北通透 低层两居 满五唯一 有钥匙,必看好房,挂车厂宿舍 ,果园,236,"34,473元/平",2室1厅 , 68.46平米 , 南 北 , 简装 , 底层(共6层) , 1981年建 , 板楼,8人关注 , 8天以前发布,,VR房源,房本满五年,随时看房
东城 安定门 朝南大一居 高层有电梯 有钥匙 看房随时,必看好房,青年湖东里 ,安定门,579,"124,196元/平",1室1厅 , 46.62平米 , 南 , 精装 , 中楼层(共18层) , 1988年建 , 塔楼,7人关注 , 6天以前发布,近地铁,VR看装修,房本满两年,随时看房
东三环双井九龙花园东南向两居室，无遮挡,必看好房,九龙花园 ,双井,535,"67,773元/平",2室1厅 , 78.94平米 , 东南 , 简装 , 低楼层(共20层) , 2001年建 , 塔楼,11人关注 , 7天以前发布,近地铁,VR房源,房本满五年,随时看房
*建邦枫景”小区位于双林东路105号院,必看好房,建邦枫景 ,青塔,390,"57,219元/平",2室2厅 , 68.16平米 , 东北 , 精装 , 中楼层(共22层) , 2011年建 , 板楼,12人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
延静里中间楼层满五年唯一 诚意出售，看房方便,必看好房,延静里 ,甜水园,309,"61,395元/平",2室0厅 , 50.33平米 , 南 , 简装 , 中楼层(共5层) , 1979年建 , 板楼,2人关注 , 5天以前发布,近地铁,VR房源,房本满五年,随时看房
满五唯一商品房，非顶层高楼层视野好，小区安静,必看好房,芳林苑 ,方庄,668,"60,035元/平",2室2厅 , 111.27平米 , 西南 , 精装 , 高楼层(共22层) , 2001年建 , 塔楼,4人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,随时看房
和平街十一区 2室1厅 东南,必看好房,和平街十一区 ,和平里,680,"96,729元/平",2室1厅 , 70.3平米 , 东南 , 简装 , 21层 , 1990年建 , 塔楼,3人关注 , 3天以前发布,近地铁,VR看装修,房本满五年,随时看房
武圣西里 2室1厅 南 北,必看好房,武圣西里 ,劲松,365,"59,827元/平",2室1厅 , 61.01平米 , 南 北 , 简装 , 低楼层(共6层) , 1980年建 , 板楼,3人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
首开康乃馨城满五年正规一居改的二居，产权清晰,必看好房,首开康乃馨城 ,枣园,210,"33,687元/平",1室1厅 , 62.34平米 , 南 , 简装 , 低楼层(共16层) , 2012年建 , 板楼,0人关注 , 2天以前发布,,VR看装修,房本满五年,随时看房
永泰园新上南北通透明厅二居室，满五年唯一,必看好房,永泰园 ,清河,652,"76,142元/平",2室1厅 , 85.63平米 , 南 北 , 简装 , 高楼层(共6层) , 2002年建 , 板楼,0人关注 , 2天以前发布,近地铁,VR看装修,房本满五年,随时看房
润西山苑新上三居室低楼层 精装修花园,必看好房,润西山苑 ,冯村,475,"43,265元/平",3室1厅 , 109.79平米 , 东 西 , 精装 , 低楼层(共10层) , 2012年建 , 板塔结合,2人关注 , 5天以前发布,,VR看装修,房本满两年,随时看房
"甄选50万东易日盛全新精装两居,全明格局安静不临街",必看好房,东恒时代三期 ,四惠,680,"74,358元/平",2室1厅 , 91.45平米 , 东北 , 精装 , 27层 , 2006年建 , 塔楼,3人关注 , 2天以前发布,近地铁,VR看装修,房本满两年,随时看房
北京北 2室1厅 东南,必看好房,北京北 ,立水桥,560,"62,619元/平",2室1厅 , 89.43平米 , 东南 , 简装 , 高楼层(共20层) , 2008年建 , 板塔结合,3人关注 , 3天以前发布,近地铁,VR看装修,房本满五年,随时看房
北三环 胜古南里 精装南北通透 全明 两居室,必看好房,胜古南里 ,惠新西街,555,"76,892元/平",2室1厅 , 72.18平米 , 南 北 , 精装 , 中楼层(共4层) , 1960年建 , 板楼,5人关注 , 4天以前发布,近地铁,VR看装修,房本满两年,随时看房
此房满五唯一 三阳开泰 采光好 交通便利,必看好房,康泽佳苑南区 ,长阳,207,"39,279元/平",2室1厅 , 52.7平米 , 南 , 简装 , 18层 , 2014年建 , 板楼,3人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
店长推荐 松榆西里 满五年 精装修 安静不临街 管理好,必看好房,松榆西里 ,潘家园,438,"64,880元/平",2室1厅 , 67.51平米 , 北 南 , 精装 , 底层(共6层) , 1995年建 , 板楼,6人关注 , 6天以前发布,近地铁,VR房源,房本满五年,随时看房
东大桥路小区 满五唯一 南向两居 带电梯 精装修,必看好房,东大桥路 ,朝阳门外,530,"82,107元/平",2室1厅 , 64.55平米 , 西南 , 精装 , 低楼层(共14层) , 1985年建 , 塔楼,2人关注 , 2天以前发布,近地铁,VR房源,房本满五年,随时看房
白广路东里1号院，板楼带电梯，小区停车免费,必看好房,白广路东里1号院 ,白纸坊,820,"124,093元/平",2室1厅 , 66.08平米 , 南 北 , 简装 , 低楼层(共7层) , 1999年建 , 板楼,4人关注 , 5天以前发布,,VR房源,房本满五年,随时看房
南三环 成寿寺 中海城圣朝菲 花园洋房小区 视野采光好,必看好房,中海城圣朝菲 ,成寿寺,655,"65,442元/平",2室1厅 , 100.09平米 , 西 , 精装 , 高楼层(共18层) , 2008年建 , 板塔结合,1人关注 , 3天以前发布,近地铁,VR房源,房本满五年,随时看房
富力信然庭 2室2厅 南 北,必看好房,富力信然庭 ,陶然亭,1890,"175,586元/平",2室2厅 , 107.64平米 , 南 北 , 其他 , 中楼层(共7层) , 2006年建 , 板楼,9人关注 , 6天以前发布,,VR看装修,房本满五年,随时看房
珠江拉维小镇 满五唯一 中间层 边户明卫 精装修保持好,必看好房,珠江拉维小镇 ,潞苑,362,"36,622元/平",2室1厅 , 98.85平米 , 南 北 , 精装 , 中楼层(共9层) , 2012年建 , 板塔结合,5人关注 , 3天以前发布,,VR看装修,房本满五年,随时看房
清河永泰西里 满五年唯一 中间层 采光好,必看好房,永泰西里 ,清河,500,"87,200元/平",2室1厅 , 57.34平米 , 南 北 , 精装 , 中楼层(共6层) , 1999年建 , 板楼,9人关注 , 5天以前发布,,VR看装修,房本满五年,随时看房
三里河三区单位房，一层，东向，两居,必看好房,三里河三区 ,月坛,760,"116,744元/平",2室1厅 , 65.1平米 , 东 , 简装 , 底层(共4层)  , 板楼,,2人关注 , 5天以前发布,近地铁,VR看装修,房本满五年,随时看房
华业东方玫瑰A区 精装 南向两居室,必看好房,华业东方玫瑰A区 ,临河里,455,"50,332元/平",2室1厅 , 90.4平米 , 南 , 精装 , 高楼层(共23层) , 2010年建 , 板塔结合,2人关注 , 5天以前发布,近地铁,VR看装修,房本满五年,随时看房
芳园里 近地铁 1997年 两居室,必看好房,芳园里 ,酒仙桥,395,"64,723元/平",2室1厅 , 61.03平米 , 南 北 , 简装 , 低楼层(共6层) , 1997年建 , 板楼,7人关注 , 3天以前发布,近地铁,VR看装修,房本满五年,随时看房
京投发展公园悦府，16年商品房社区，满五年唯一，精装,必看好房,京投发展公园悦府 ,回龙观,628,"69,186元/平",2室1厅 , 90.77平米 , 南 北 , 精装 , 中楼层(共22层) , 2015年建 , 板楼,2人关注 , 7天以前发布,近地铁,VR看装修,房本满两年,随时看房
望京花园西区南北三居室，正对小区花园，采光好,必看好房,望京花园西区 ,望京,795,"81,489元/平",3室2厅 , 97.56平米 , 南 北 , 精装 , 高楼层(共10层) , 2000年建 , 板楼,7人关注 , 4天以前发布,近地铁,VR看装修,房本满五年,随时看房
北纬40度一期南北通透两居室 高楼层直观中国尊,必看好房,北纬40度一期 ,望京,890,"94,430元/平",2室2厅 , 94.25平米 , 南 北 , 精装 , 中楼层(共29层) , 2009年建 , 板塔结合,10人关注 , 6天以前发布,近地铁,VR看装修,房本满五年,随时看房
商满五年唯一，小区中间位置，不临街不把边，自住精装,必看好房,龙回苑 ,回龙观,539,"46,267元/平",3室1厅 , 116.5平米 , 南 北 , 精装 , 高楼层(共6层) , 2004年建 , 板楼,2人关注 , 5天以前发布,近地铁,VR房源,房本满五年,随时看房
首开畅心园 2室1厅 西 北,必看好房,首开畅心园 ,常营,310,"43,929元/平",2室1厅 , 70.57平米 , 西 北 , 简装 , 中楼层(共28层) , 2010年建 , 塔楼,8人关注 , 2天以前发布,近地铁,VR看装修,房本满五年,随时看房
珠江丽景家园 满5唯1 正规三居 户型好 楼层好 采光好,必看好房,珠江丽景家园 ,潞苑,366,"39,040元/平",3室2厅 , 93.75平米 , 西 , 精装 , 高楼层(共10层) , 2013年建 , 板塔结合,14人关注 , 19天以前发布,,VR房源,房本满五年,随时看房
倚林佳园 精装修 全明格局 采光好 视野好,必看好房,倚林佳园 ,奥林匹克公园,2160,"93,096元/平",5室2厅 , 232.02平米 , 南 北 , 精装 , 中楼层(共11层) , 2004年建 , 板楼,27人关注 , 19天以前发布,近地铁,VR看装修,房本满五年,随时看房
利泽西园 满五唯一 正对小区花园，业主诚意出售,必看好房,利泽西园 ,望京,730,"73,701元/平",2室2厅 , 99.05平米 , 东 , 简装 , 低楼层(共24层) , 2002年建 , 塔楼,38人关注 , 31天以前发布,近地铁,VR看装修,房本满五年,随时看房
近地铁 一梯两户 采光充足 南北通透,必看好房,天骄俊园 ,长阳,355,"29,777元/平",3室2厅 , 119.22平米 , 南 北 , 简装 , 底层(共6层) , 2009年建 , 板楼,6人关注 , 31天以前发布,近地铁,VR房源,房本满五年,随时看房
领秀慧谷C区 明厨明卫一梯一户 带挑空 有钥匙 视野好,必看好房,领秀慧谷C区 ,回龙观,1400,"69,753元/平",4室2厅 , 200.71平米 , 南 北 , 简装 , 顶层(共11层) , 2012年建 , 板楼,19人关注 , 30天以前发布,,VR看装修,房本满五年,随时看房
中仓小区 3室2厅 南 北,必看好房,中仓小区 ,万达,555,"48,236元/平",3室2厅 , 115.06平米 , 南 北 , 精装 , 6层 , 1997年建 , 板楼,15人关注 , 17天以前发布,,VR看装修,房本满五年,随时看房
中间楼层，南北通透，视野开阔，配套齐全,必看好房,瑞海家园一区 ,西红门,560,"45,389元/平",3室2厅 , 123.38平米 , 南 北 , 精装 , 中楼层(共6层) , 2004年建 , 板楼,5人关注 , 22天以前发布,近地铁,VR看装修,房本满五年,随时看房
龙湖好望山 精装修上叠别墅 人车分流,必看好房,龙湖好望山 ,顺义其它,710,"32,369元/平",4室2厅 , 219.35平米 , 南 北 , 精装 , 中楼层(共4层) , 2014年建 , 板楼,8人关注 , 18天以前发布,,VR房源,房本满五年,随时看房
此房南北朝向，低楼层，视野开阔，采光充足,必看好房,浅山香邑 ,顺义其它,320,"14,588元/平",6室3厅 , 219.37平米 , 南 北 , 其他 , 7层 , 2016年建 , 暂无数据,10人关注 , 24天以前发布,,VR房源,房本满两年,随时看房
国奥村精装南北通透小三居，满五年费用低,必看好房,国奥村 ,奥林匹克公园,2250,"179,857元/平",3室2厅 , 125.1平米 , 南 北 , 精装 , 顶层(共6层) , 2009年建 , 板楼,20人关注 , 22天以前发布,,VR房源,房本满五年,随时看房
满五唯一，诚心卖，南北通透，格局好,必看好房,万象新天天际高尔夫 ,常营,869,"53,415元/平",3室2厅 , 162.69平米 , 南 北 , 简装 , 低楼层(共17层) , 2009年建 , 板楼,32人关注 , 25天以前发布,近地铁,VR房源,房本满五年,随时看房
距离地铁700米，小区的中间位置，无遮挡,必看好房,富力盛悦居 ,旧宫,680,"76,268元/平",3室1厅 , 89.16平米 , 南 北 , 精装 , 中楼层(共18层) , 2013年建 , 板楼,44人关注 , 24天以前发布,近地铁,VR看装修,房本满五年,随时看房
蓝堡-百万精装-双厅双卫，对望中国尊-蓝天下的城堡,必看好房,蓝堡国际公寓 ,CBD,1660,"92,008元/平",3室2厅 , 180.42平米 , 东 西 , 精装 , 中楼层(共16层) , 2004年建 , 板塔结合,38人关注 , 27天以前发布,近地铁,VR房源,房本满两年,随时看房
电梯2居室 客厅带阳台 商品房满五唯一 业主诚售,必看好房,天通苑北二区 ,天通苑,489,"42,626元/平",2室2厅 , 114.72平米 , 南 北 , 精装 , 低楼层(共13层) , 2004年建 , 板楼,12人关注 , 22天以前发布,,VR看装修,房本满五年,随时看房
商品房满五年，家庭唯一住房，南北通透3居室,必看好房,天通苑五区 ,天通苑,650,"40,580元/平",3室1厅 , 160.18平米 , 南 北 , 精装 , 10层 , 2001年建 , 板楼,9人关注 , 31天以前发布,,VR看装修,房本满五年,随时看房
西屋国际 70年产权住宅 楼层高视野开阔采光无遮挡,必看好房,西屋国际 ,苏州桥,1590,"89,846元/平",3室2厅 , 176.97平米 , 东南 , 精装 , 高楼层(共23层) , 2004年建 , 板塔结合,7人关注 , 16天以前发布,,VR房源,房本满五年,随时看房
富力又一城A区 南北错层三居室 满五年唯一 无遮挡,必看好房,富力又一城A区 ,豆各庄,850,"52,799元/平",3室2厅 , 160.99平米 , 南 北 , 精装 , 中楼层(共10层) , 2004年建 , 板楼,16人关注 , 28天以前发布,,VR看装修,房本满五年,随时看房
低层板楼，满五年唯一住房，楼层好，不临街，无遮挡,必看好房,万象新天四区 ,常营,725,"59,218元/平",3室2厅 , 122.43平米 , 南 北 , 简装 , 中楼层(共5层) , 2005年建 , 板楼,53人关注 , 22天以前发布,近地铁,VR看装修,房本满五年,随时看房
九台2000家园 精装修3居室，可直接拎包入住。,必看好房,九台2000家园 ,亚运村,958,"73,926元/平",3室1厅 , 129.59平米 , 西南 , 精装 , 中楼层(共27层) , 2001年建 , 塔楼,20人关注 , 23天以前发布,近地铁,VR看装修,房本满五年,随时看房
满五年 南北通透 边户花园 楼间距宽 采光好 精装修,必看好房,美树假日嘉园 ,北七家,809,"42,310元/平",3室2厅 , 191.21平米 , 南 北 , 精装 , 底层(共4层) , 2004年建 , 暂无数据,60人关注 , 28天以前发布,,VR房源,房本满五年,随时看房
望京新城明厨明卫大3居格局方正看房随时,必看好房,望京新城 ,望京,963,"66,593元/平",3室2厅 , 144.61平米 , 南 北 , 精装 , 低楼层(共25层) , 1999年建 , 板塔结合,18人关注 , 17天以前发布,近地铁,VR看装修,房本满五年,随时看房
国风北京一期板楼三居室，高楼层边户明卫，前后不临街,必看好房,国风北京一期 ,望京,1480,"99,765元/平",3室2厅 , 148.35平米 , 南 北 , 精装 , 高楼层(共12层) , 2006年建 , 板楼,15人关注 , 24天以前发布,,VR看装修,房本满两年,随时看房
远见名苑商品房三居室，下楼就是花园，近地铁,必看好房,远见名苑 ,广安门,1340,"123,412元/平",3室1厅 , 108.58平米 , 西北 , 精装 , 中楼层(共25层) , 2006年建 , 塔楼,22人关注 , 17天以前发布,近地铁,VR看装修,房本满五年,随时看房
西环内 永安东里 方正三居室 不临街 无遮挡 诚意出售,必看好房,永安东里 ,定慧寺,890,"91,564元/平",3室2厅 , 97.2平米 , 东 西 北 , 简装 , 中楼层(共5层) , 1998年建 , 板楼,33人关注 , 27天以前发布,,VR房源,房本满五年,随时看房
珠江绿洲 普宅三居 精装修 满五年唯一,必看好房,珠江绿洲 ,双桥,635,"45,687元/平",3室1厅 , 138.99平米 , 东南 西北 , 精装 , 低楼层(共31层) , 2003年建 , 塔楼,67人关注 , 22天以前发布,近地铁,VR房源,房本满五年,随时看房
星瑞家园  电梯三居室 电梯房 电梯房 看房随时 有钥匙,必看好房,星瑞家园 ,黄村中,520,"44,494元/平",3室1厅 , 116.87平米 , 南 北 , 简装 , 低楼层(共9层) , 2001年建 , 板楼,0人关注 , 16天以前发布,,VR房源,房本满五年,随时看房
商品房 满五年唯一，南北通透，采光充足,必看好房,天通苑中苑 ,天通苑,612,"46,983元/平",3室1厅 , 130.26平米 , 南 北 , 简装 , 低楼层(共12层) , 2008年建 , 板楼,18人关注 , 17天以前发布,,VR看装修,房本满五年,随时看房
亿城天筑 带电梯南北向 飘窗 三居室,必看好房,亿城天筑 ,科技园区,870,"67,296元/平",3室2厅 , 129.28平米 , 南 北 , 精装 , 低楼层(共9层) , 2007年建 , 板楼,14人关注 , 18天以前发布,,VR看装修,房本满五年,随时看房
中海金石公馆 精装三居室 全明格局 中间位置,必看好房,中海金石公馆 ,古城,970,"71,773元/平",3室2厅 , 135.15平米 , 南 北 , 精装 , 顶层(共18层) , 2014年建 , 板楼,20人关注 , 19天以前发布,,VR看装修,房本满五年,随时看房
高家园三区精装一居 电梯房高层 近地铁 有钥匙 朝南向,必看好房,高家园三区 ,酒仙桥,305,"66,118元/平",1室1厅 , 46.13平米 , 南 , 精装 , 高楼层(共16层) , 1985年建 , 塔楼,6人关注 , 15天以前发布,近地铁,VR房源,房本满五年,随时看房
西向高楼层满五唯一急售房源随时约谈,必看好房,华发颐园 ,北苑,289,"48,547元/平",1室0厅 , 59.53平米 , 西 , 精装 , 中楼层(共19层) , 2007年建 , 板楼,5人关注 , 3天以前发布,近地铁,VR房源,房本满五年,随时看房
南北通透两居 前后不临街 视野好无遮挡,必看好房,瑞祥里 ,管庄,388,"44,177元/平",2室1厅 , 87.83平米 , 南 北 , 简装 , 高楼层(共6层) , 2008年建 , 板楼,18人关注 , 14天以前发布,,VR房源,房本满五年,随时看房
皂君东里  皂君庙 中间层 正规三居户型方正双卧朝南户,必看好房,皂君东里 ,皂君庙,820,"107,895元/平",3室1厅 , 76平米 , 东南 , 简装 , 中楼层(共6层) , 1983年建 , 板楼,10人关注 , 10天以前发布,,VR看装修,房本满五年,随时看房
满五唯一，小区东边，高楼层，采光好视野好,必看好房,首开康乃馨城 ,枣园,350,"39,366元/平",3室1厅 , 88.91平米 , 东南 , 精装 , 高楼层(共16层) , 2012年建 , 板楼,1人关注 , 3天以前发布,,VR看装修,房本满五年,
满五年唯一，南北通透，4室3厅3卫，户型方正，,必看好房,国英园 ,官园,2080,"124,402元/平",4室2厅 , 167.2平米 , 南 北 , 精装 , 顶层(共6层) , 1998年建 , 板楼,40人关注 , 24天以前发布,近地铁,VR房源,房本满五年,
首开璞瑅  四居室眼镜户型  人车分流 高档社区,必看好房,首开璞瑅 ,方庄,1420,"99,720元/平",4室2厅 , 142.4平米 , 南 北 , 精装 , 中楼层(共19层) , 2011年建 , 板塔结合,28人关注 , 26天以前发布,近地铁,VR看装修,房本满五年,
天际高尔夫 方正三居 精装修 业主急售 报价可聊,必看好房,万象新天天际高尔夫 ,常营,899,"62,601元/平",3室1厅 , 143.61平米 , 南 北 , 精装 , 底层(共6层) , 2009年建 , 板楼,19人关注 , 15天以前发布,近地铁,VR房源,房本满五年,
龙禧苑二区  不临街  南北通透,必看好房,龙禧苑二区 ,回龙观,655,"45,911元/平",3室2厅 , 142.67平米 , 南 北 , 精装 , 中楼层(共5层) , 2003年建 , 板楼,4人关注 , 12天以前发布,,VR看装修,房本满五年,
盛世嘉园高层东南向大两居精装修,必看好房,盛世嘉园 ,CBD,890,"69,733元/平",2室1厅 , 127.63平米 , 东南 , 精装 , 高楼层(共18层) , 2000年建 , 塔楼,6人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,
2002年的纯商品房，独门独院物业负责管理好,必看好房,农光里 ,劲松,660,"64,016元/平",2室1厅 , 103.1平米 , 南 西 , 简装 , 中楼层(共22层) , 2002年建 , 塔楼,4人关注 , 12天以前发布,近地铁,VR房源,房本满五年,
在水一方 电梯房 三居室 南北通透 满五唯一,必看好房,在水一方 ,万达,540,"43,056元/平",3室2厅 , 125.42平米 , 南 北 , 简装 , 高楼层(共12层) , 2004年建 , 板楼,6人关注 , 11天以前发布,,VR房源,房本满五年,
阳光丽景 满五唯一商品房，南北通透，看房方便,必看好房,阳光丽景 ,马甸,2546,"179,955元/平",3室2厅 , 141.48平米 , 南 北 , 精装 , 12层 , 2003年建 , 板塔结合,16人关注 , 10天以前发布,近地铁,VR看装修,房本满五年,
白纸坊  中加 南北通透 高楼层 采光视野无遮挡 有车位,必看好房,中加大厦 ,白纸坊,1588,"83,129元/平",4室2厅 , 191.03平米 , 东 南 北 , 精装 , 高楼层(共24层) , 1999年建 , 塔楼,36人关注 , 14天以前发布,,VR看装修,房本满五年,
合生滨江帝景二期 全明南北三居 次新房不怎么住,必看好房,合生滨江帝景二期 ,玉桥,750,"54,301元/平",3室2厅 , 138.12平米 , 南 北 , 精装 , 高楼层(共18层) , 2016年建 , 板楼,7人关注 , 12天以前发布,,VR看装修,房本满两年,
满五唯一 两个明卫 不临街 采光好 交通便捷,必看好房,富力又一城A区 ,豆各庄,860,"50,217元/平",3室2厅 , 171.26平米 , 南 北 , 精装 , 中楼层(共22层) , 2007年建 , 板楼,8人关注 , 11天以前发布,,VR看装修,房本满五年,
魏公村 韦伯豪家园 南北向三居室 业主诚心出售,必看好房,韦伯豪家园 ,魏公村,1780,"126,322元/平",3室1厅 , 140.91平米 , 南 北 , 精装 , 中楼层(共16层) , 2001年建 , 板塔结合,11人关注 , 10天以前发布,近地铁,VR房源,房本满五年,
左安漪园满五年唯一双阳台三居两卫,必看好房,左安漪园 ,左安门,1200,"96,837元/平",3室1厅 , 123.92平米 , 东北 , 简装 , 低楼层(共15层) , 2004年建 , 板塔结合,17人关注 , 12天以前发布,近地铁,VR看装修,房本满五年,
馨港庄园二区 精装修 一层花园 南北通透 分区清晰,必看好房,馨港庄园二区 ,李桥,428,"27,949元/平",3室2厅 , 153.14平米 , 南 北 , 精装 , 底层(共6层) , 2005年建 , 板楼,2人关注 , 12天以前发布,,VR看装修,房本满两年,
翡翠城二期 边户别墅 满五年唯一 诚心卖随时签约,必看好房,翡翠城二期 ,高米店,1200,"66,991元/平",3室3厅 , 179.13平米 , 南 北 , 简装 , 3层 , 2003年建 , 板楼,10人关注 , 12天以前发布,,VR房源,房本满五年,
二环边  丽泽商务区  精装三居  高楼层无遮挡视野好,必看好房,金泰城丽湾 ,菜户营,1400,"100,072元/平",3室2厅 , 139.9平米 , 南 北 , 精装 , 高楼层(共21层) , 2009年建 , 板楼,11人关注 , 9天以前发布,近地铁,VR房源,房本满两年,
珠江帝景   高层  景观     精装,必看好房,珠江帝景 ,大望路,1350,"115,553元/平",2室1厅 , 116.83平米 , 南 , 精装 , 26层 , 2006年建 , 塔楼,11人关注 , 9天以前发布,近地铁,VR看装修,房本满五年,
天缘公寓 东南三居室两卫 全明格局 电梯直达,必看好房,天缘公寓 ,白纸坊,1480,"81,719元/平",3室2厅 , 181.11平米 , 东南 , 精装 , 中楼层(共28层) , 2000年建 , 塔楼,17人关注 , 10天以前发布,,VR看装修,房本满五年,
东晶国际复式两居，精装自住满五唯一靠谱出售看房方便,必看好房,东晶国际 ,亦庄,570,"49,548元/平",2室2厅 , 115.04平米 , 东 , 精装 , 17层 , 2002年建 , 板塔结合,6人关注 , 11天以前发布,,VR房源,房本满五年,
柏儒苑 高楼层 南北向3居室  满5年唯一住宅 诚意出售,必看好房,柏儒苑 ,学院路,1280,"95,069元/平",3室2厅 , 134.64平米 , 南 北 西 , 精装 , 中楼层(共15层) , 2001年建 , 板楼,11人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,
德茂小区  南北通透  双卧南向  三居,必看好房,德茂小区 ,瀛海,308,"40,199元/平",3室1厅 , 76.62平米 , 南 北 , 简装 , 中楼层(共6层) , 1995年建 , 板楼,12人关注 , 13天以前发布,近地铁,VR看装修,房本满五年,
水口子村51号院 精装修3居室 带电梯,必看好房,水口子村51号院 ,广安门,780,"75,677元/平",3室1厅 , 103.07平米 , 南 北 , 精装 , 底层(共5层) , 1995年建 , 板塔结合,12人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,
松榆西里 满五唯一 采光好，北一社区 楼道贴瓷砖，,必看好房,松榆西里 ,潘家园,423,"65,950元/平",2室1厅 , 64.14平米 , 东 南 , 精装 , 高楼层(共18层) , 1990年建 , 塔楼,18人关注 , 12天以前发布,近地铁,VR看装修,房本满五年,
映天朗5号公馆  商品房   1梯2户  人车分流,必看好房,映天朗 ,宋家庄,970,"69,941元/平",3室1厅 , 138.69平米 , 南 北 , 精装 , 高楼层(共6层) , 2007年建 , 板楼,5人关注 , 9天以前发布,近地铁,VR看装修,房本满五年,
南北通透四居室 户型方正 三卧南向 满五唯一商品房,必看好房,恋日嘉园二期 ,草桥,1450,"78,434元/平",4室2厅 , 184.87平米 , 南 北 , 精装 , 高楼层(共18层) , 2003年建 , 板楼,29人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,
大成郡 3室2厅 南 北,必看好房,大成郡 ,岳各庄,1420,"92,358元/平",3室2厅 , 153.75平米 , 南 北 , 精装 , 底层(共7层) , 2010年建 , 板楼,14人关注 , 9天以前发布,,VR房源,房本满五年,
美景东方 全明户型三室两卫 正观小区花园,必看好房,美景东方 ,华威桥,889,"74,838元/平",3室2厅 , 118.79平米 , 西北 , 精装 , 25层 , 2010年建 , 塔楼,13人关注 , 14天以前发布,,VR看装修,房本满五年,
洋房社区 全明格局 南北通透  临地铁,必看好房,雍景天成 ,苹果园,855,"62,808元/平",2室2厅 , 136.13平米 , 南 北 , 精装 , 低楼层(共6层) , 2004年建 , 板楼,2人关注 , 8天以前发布,近地铁,VR房源,房本满五年,
西翠芳庭满五唯一商品房精装修南北三居,必看好房,西翠芳庭 ,青塔,625,"51,898元/平",3室1厅 , 120.43平米 , 东 南 北 , 精装 , 中楼层(共22层) , 2002年建 , 塔楼,7人关注 , 7天以前发布,,VR看装修,房本满五年,
纯板楼，南北通透 视野采光好，精装修,必看好房,世华水岸C区 ,赵公口,1150,"73,072元/平",3室2厅 , 157.38平米 , 南 北 , 精装 , 高楼层(共15层) , 2009年建 , 板楼,1人关注 , 7天以前发布,近地铁,VR看装修,房本满五年,
满五年唯一，高楼层，视野好，采光好，明厨明卫格局,必看好房,光熙家园二期 ,西坝河,1599,"96,541元/平",3室2厅 , 165.63平米 , 东 南 西 , 精装 , 21层 , 2009年建 , 板塔结合,1人关注 , 14天以前发布,近地铁,VR看装修,房本满五年,
K2玉蘭湾 南北通透 精装平层四居室  园林社区 近城铁,必看好房,K2玉蘭湾 ,九棵树(家乐福),1400,"60,270元/平",4室1厅 , 232.29平米 , 南 北 , 精装 , 27层 , 2015年建 , 板楼,2人关注 , 8天以前发布,近地铁,VR看装修,房本满两年,
